"No.","Time","Source","Destination","Protocol","Length","Info"
"327","9.717076","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=124167 Win=258 Len=0"
"328","9.718477","172.217.26.227","192.168.2.4","TLSv1.2","430","Application Data"
"329","9.734312","172.217.26.227","192.168.2.4","TLSv1.2","250","Application Data"
"330","9.734360","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=124739 Win=256 Len=0"
"331","9.736915","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"332","9.736916","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"333","9.736917","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"334","9.736918","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"335","9.736919","172.217.26.227","192.168.2.4","TLSv1.2","1079","Application Data, Application Data"
"336","9.736976","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=131476 Win=258 Len=0"
"337","9.738691","172.217.26.227","192.168.2.4","TLSv1.2","100","Application Data"
"338","9.738740","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=131522 Win=258 Len=0"
"339","9.738840","192.168.2.4","172.217.26.227","TLSv1.2","100","Application Data"
"340","9.773052","216.58.203.174","192.168.2.4","TLSv1.2","589","Application Data"
"341","9.773053","216.58.203.174","192.168.2.4","TLSv1.2","309","Application Data"
"342","9.773053","216.58.203.174","192.168.2.4","TLSv1.2","110","Application Data"
"343","9.773053","216.58.203.174","192.168.2.4","TLSv1.2","301","Application Data"
"344","9.773108","192.168.2.4","216.58.203.174","TCP","54","58355  >  443 [ACK] Seq=461 Ack=1140 Win=258 Len=0"
"345","9.773997","216.58.203.174","192.168.2.4","TLSv1.2","100","Application Data"
"346","9.774935","192.168.2.4","216.58.203.174","TLSv1.2","100","Application Data"
"347","9.807503","172.217.26.227","192.168.2.4","TCP","60","443  >  58357 [ACK] Seq=131522 Ack=2221 Win=319 Len=0"
"348","9.819986","216.58.203.174","192.168.2.4","TCP","60","443  >  58355 [ACK] Seq=1186 Ack=507 Win=482 Len=0"
"349","9.913183","192.168.2.4","216.58.203.174","TLSv1.2","181","Application Data"
"350","9.913272","192.168.2.4","216.58.203.174","TLSv1.2","100","Application Data"
"351","9.913313","192.168.2.4","216.58.203.174","TCP","1434","58348  >  443 [ACK] Seq=174 Ack=1 Win=258 Len=1380 [TCP segment of a reassembled PDU]"
"352","9.913321","192.168.2.4","216.58.203.174","TLSv1.2","114","Application Data"
"353","9.918301","216.58.203.174","192.168.2.4","TCP","60","443  >  58348 [ACK] Seq=1 Ack=128 Win=272 Len=0"
"354","9.918301","216.58.203.174","192.168.2.4","TCP","60","443  >  58348 [ACK] Seq=1 Ack=174 Win=272 Len=0"
"355","9.919054","216.58.203.174","192.168.2.4","TLSv1.2","100","Application Data"
"356","9.919310","216.58.203.174","192.168.2.4","TCP","60","443  >  58348 [ACK] Seq=47 Ack=1614 Win=283 Len=0"
"357","9.965443","192.168.2.4","216.58.203.174","TCP","54","58348  >  443 [ACK] Seq=1614 Ack=47 Win=258 Len=0"
"358","10.073192","216.58.203.174","192.168.2.4","TLSv1.2","141","Application Data"
"359","10.073192","216.58.203.174","192.168.2.4","TLSv1.2","803","Application Data"
"360","10.073244","192.168.2.4","216.58.203.174","TCP","54","58348  >  443 [ACK] Seq=1614 Ack=883 Win=255 Len=0"
"361","10.073567","216.58.203.174","192.168.2.4","TLSv1.2","210","Application Data"
"362","10.073568","216.58.203.174","192.168.2.4","TLSv1.2","281","Application Data"
"363","10.073568","216.58.203.174","192.168.2.4","TLSv1.2","100","Application Data"
"364","10.073602","192.168.2.4","216.58.203.174","TCP","54","58348  >  443 [ACK] Seq=1614 Ack=1312 Win=253 Len=0"
"365","10.073930","192.168.2.4","216.58.203.174","TLSv1.2","100","Application Data"
"366","10.075193","192.168.2.4","216.58.203.174","TLSv1.2","181","Application Data"
"367","10.075442","192.168.2.4","216.58.203.174","TLSv1.2","1374","Application Data"
"368","10.082699","216.58.203.174","192.168.2.4","TCP","60","443  >  58348 [ACK] Seq=1312 Ack=1787 Win=283 Len=0"
"369","10.104295","50.16.201.220","192.168.2.4","TLSv1.2","85","Encrypted Alert"
"370","10.104296","50.16.201.220","192.168.2.4","TCP","54","443  >  58350 [FIN, ACK] Seq=32 Ack=1 Win=123 Len=0"
"371","10.104352","192.168.2.4","50.16.201.220","TCP","54","58350  >  443 [ACK] Seq=1 Ack=33 Win=254 Len=0"
"372","10.121044","216.58.203.174","192.168.2.4","TCP","60","443  >  58348 [ACK] Seq=1312 Ack=3107 Win=294 Len=0"
"373","10.220436","216.58.203.174","192.168.2.4","TLSv1.2","117","Application Data"
"374","10.220436","216.58.203.174","192.168.2.4","TLSv1.2","693","Application Data"
"375","10.220512","192.168.2.4","216.58.203.174","TCP","54","58348  >  443 [ACK] Seq=3107 Ack=2014 Win=258 Len=0"
"376","10.221422","216.58.203.174","192.168.2.4","TLSv1.2","222","Application Data"
"377","10.221423","216.58.203.174","192.168.2.4","TLSv1.2","102","Application Data"
"378","10.221423","216.58.203.174","192.168.2.4","TLSv1.2","100","Application Data"
"379","10.221471","192.168.2.4","216.58.203.174","TCP","54","58348  >  443 [ACK] Seq=3107 Ack=2276 Win=257 Len=0"
"380","10.222151","192.168.2.4","216.58.203.174","TLSv1.2","100","Application Data"
"381","10.227303","216.58.203.174","192.168.2.4","TCP","60","443  >  58348 [ACK] Seq=2276 Ack=3153 Win=294 Len=0"
"382","10.424945","192.168.2.4","216.58.203.174","TLSv1.2","181","Application Data"
"383","10.425039","192.168.2.4","216.58.203.174","TLSv1.2","1061","Application Data"
"384","10.430639","216.58.203.174","192.168.2.4","TCP","60","443  >  58348 [ACK] Seq=2276 Ack=3280 Win=294 Len=0"
"385","10.431589","216.58.203.174","192.168.2.4","TCP","60","443  >  58348 [ACK] Seq=2276 Ack=4287 Win=305 Len=0"
"386","10.524252","192.168.2.4","216.58.203.174","TLSv1.2","405","Application Data"
"387","10.524374","192.168.2.4","216.58.203.174","TLSv1.2","195","Application Data"
"388","10.530178","216.58.203.174","192.168.2.4","TCP","60","443  >  58355 [ACK] Seq=1186 Ack=858 Win=493 Len=0"
"389","10.530179","216.58.203.174","192.168.2.4","TCP","60","443  >  58355 [ACK] Seq=1186 Ack=999 Win=503 Len=0"
"390","10.575170","216.58.203.174","192.168.2.4","TLSv1.2","117","Application Data"
"391","10.575170","216.58.203.174","192.168.2.4","TLSv1.2","674","Application Data"
"392","10.575220","192.168.2.4","216.58.203.174","TCP","54","58348  >  443 [ACK] Seq=4287 Ack=2959 Win=255 Len=0"
"393","10.575629","216.58.203.174","192.168.2.4","TLSv1.2","184","Application Data"
"394","10.575629","216.58.203.174","192.168.2.4","TLSv1.2","123","Application Data"
"395","10.575630","216.58.203.174","192.168.2.4","TLSv1.2","100","Application Data"
"396","10.575670","192.168.2.4","216.58.203.174","TCP","54","58348  >  443 [ACK] Seq=4287 Ack=3204 Win=254 Len=0"
"397","10.575944","192.168.2.4","216.58.203.174","TLSv1.2","100","Application Data"
"398","10.587329","216.58.203.174","192.168.2.4","TCP","60","443  >  58348 [ACK] Seq=3204 Ack=4333 Win=305 Len=0"
"399","10.695588","192.168.2.4","172.217.26.227","TLSv1.2","607","Application Data"
"400","10.730761","192.168.2.4","172.217.26.227","TLSv1.2","208","Application Data"
"401","10.753435","192.168.2.4","172.217.26.227","TLSv1.2","149","Application Data"
"402","10.765635","172.217.26.227","192.168.2.4","TCP","60","443  >  58357 [ACK] Seq=131522 Ack=2774 Win=327 Len=0"
"403","10.789431","192.168.2.4","8.8.8.8","DNS","78","Standard query 0x5547 A www.googleapis.com"
"404","10.799324","172.217.26.227","192.168.2.4","TCP","60","443  >  58357 [ACK] Seq=131522 Ack=2928 Win=335 Len=0"
"405","10.823692","172.217.26.227","192.168.2.4","TCP","60","443  >  58357 [ACK] Seq=131522 Ack=3023 Win=335 Len=0"
"406","10.848386","172.217.26.227","192.168.2.4","TLSv1.2","123","Application Data"
"407","10.848387","172.217.26.227","192.168.2.4","TLSv1.2","100","Application Data"
"408","10.848443","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=3023 Ack=131637 Win=258 Len=0"
"409","10.849241","192.168.2.4","172.217.26.227","TLSv1.2","100","Application Data"
"410","10.873116","8.8.8.8","192.168.2.4","DNS","208","Standard query response 0x5547 A www.googleapis.com CNAME googleapis.l.google.com A 172.217.27.202 A 216.58.199.170 A 172.217.26.234 A 216.58.196.74 A 216.58.199.138 A 216.58.203.202"
"411","10.873650","192.168.2.4","172.217.27.202","TCP","66","58388  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"412","10.880374","172.217.27.202","192.168.2.4","TCP","66","443  >  58388 [SYN, ACK] Seq=0 Ack=1 Win=42780 Len=0 MSS=1380 SACK_PERM=1 WS=256"
"413","10.880528","192.168.2.4","172.217.27.202","TCP","54","58388  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"414","10.880705","192.168.2.4","172.217.27.202","TLSv1.2","256","Client Hello"
"415","10.888373","172.217.27.202","192.168.2.4","TCP","54","443  >  58388 [ACK] Seq=1 Ack=203 Win=44032 Len=0"
"416","10.890129","172.217.27.202","192.168.2.4","TLSv1.2","1482","Server Hello"
"417","10.890733","172.217.27.202","192.168.2.4","TCP","1482","443  >  58388 [ACK] Seq=1429 Ack=203 Win=44032 Len=1428 [TCP segment of a reassembled PDU]"
"418","10.890762","192.168.2.4","172.217.27.202","TCP","54","58388  >  443 [ACK] Seq=203 Ack=2857 Win=66048 Len=0"
"419","10.892076","172.217.27.202","192.168.2.4","TLSv1.2","695","Certificate, Server Key Exchange, Server Hello Done"
"420","10.893208","192.168.2.4","172.217.27.202","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"421","10.895985","172.217.26.227","192.168.2.4","TLSv1.2","109","Application Data"
"422","10.895985","172.217.26.227","192.168.2.4","TLSv1.2","315","Application Data"
"423","10.895986","172.217.26.227","192.168.2.4","TLSv1.2","92","Application Data"
"424","10.896045","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=3069 Ack=131991 Win=256 Len=0"
"425","10.901725","172.217.27.202","192.168.2.4","TLSv1.2","338","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"426","10.901726","172.217.27.202","192.168.2.4","TLSv1.2","123","Application Data"
"427","10.901774","192.168.2.4","172.217.27.202","TCP","54","58388  >  443 [ACK] Seq=296 Ack=3851 Win=65024 Len=0"
"428","10.901985","192.168.2.4","172.217.27.202","TLSv1.2","147","Application Data"
"429","10.902207","192.168.2.4","172.217.27.202","TLSv1.2","92","Application Data"
"430","10.902302","192.168.2.4","172.217.27.202","TLSv1.2","319","Application Data"
"431","10.902356","192.168.2.4","172.217.27.202","TLSv1.2","434","Application Data"
"432","10.903391","172.217.26.227","192.168.2.4","TLSv1.2","105","Application Data"
"433","10.903433","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=3069 Ack=132042 Win=256 Len=0"
"434","10.903833","172.217.26.227","192.168.2.4","TLSv1.2","1191","Application Data"
"435","10.903834","172.217.26.227","192.168.2.4","TLSv1.2","92","Application Data"
"436","10.903867","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=3069 Ack=133217 Win=258 Len=0"
"437","10.909967","172.217.27.202","192.168.2.4","TCP","54","443  >  58388 [ACK] Seq=3851 Ack=427 Win=44032 Len=0"
"438","10.910459","172.217.27.202","192.168.2.4","TCP","60","[TCP Previous segment not captured] 443  >  58388 [ACK] Seq=3889 Ack=1072 Win=46080 Len=0"
"439","10.910460","172.217.27.202","192.168.2.4","TCP","92","[TCP Retransmission] 443  >  58388 [PSH, ACK] Seq=3851 Ack=427 Win=44032 Len=38"
"440","10.949768","192.168.2.4","172.217.27.202","TCP","54","58388  >  443 [ACK] Seq=1072 Ack=3889 Win=65024 Len=0"
"441","10.966168","172.217.26.227","192.168.2.4","TCP","60","443  >  58357 [ACK] Seq=133217 Ack=3069 Win=335 Len=0"
"442","10.990754","172.217.27.202","192.168.2.4","TLSv1.2","412","Application Data"
"443","10.990756","172.217.27.202","192.168.2.4","TLSv1.2","620","Application Data, Application Data"
"444","10.990757","172.217.27.202","192.168.2.4","TLSv1.2","100","Application Data"
"445","10.990907","192.168.2.4","172.217.27.202","TCP","54","58388  >  443 [ACK] Seq=1072 Ack=4859 Win=66048 Len=0"
"446","10.992306","192.168.2.4","172.217.27.202","TLSv1.2","100","Application Data"
"447","11.009066","192.168.2.4","172.217.26.227","TLSv1.2","346","Application Data"
"448","11.037533","172.217.27.202","192.168.2.4","TCP","60","443  >  58388 [ACK] Seq=4859 Ack=1118 Win=46080 Len=0"
"449","11.089998","216.58.203.174","192.168.2.4","TLSv1.2","590","Application Data"
"450","11.090000","216.58.203.174","192.168.2.4","TLSv1.2","152","Application Data"
"451","11.090002","216.58.203.174","192.168.2.4","TLSv1.2","107","Application Data"
"452","11.090003","216.58.203.174","192.168.2.4","TLSv1.2","118","Application Data"
"453","11.090176","192.168.2.4","216.58.203.174","TCP","54","58355  >  443 [ACK] Seq=999 Ack=1937 Win=255 Len=0"
"454","11.090462","216.58.203.174","192.168.2.4","TLSv1.2","100","Application Data"
"455","11.092381","192.168.2.4","216.58.203.174","TLSv1.2","100","Application Data"
"456","11.098845","216.58.203.174","192.168.2.4","TCP","60","443  >  58355 [ACK] Seq=1983 Ack=1045 Win=503 Len=0"
